name,prodi,scholar_id,sim_url
"BAMBANG IRAWAN, S.Kom, M.Kom, Ph.D",Magister Ilmu Komputer,7ZqK06oAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dFhCeW5kRmNxRTFEMFVydVNwRFZKOWpLamJraE00YmJFRkVPM1IlMkZlbUFBJTNE
"BAYU SULISTIYANTO IPUNG SUTEJO, S.Kom., M.Kom",Teknik Informatika,6quR78UAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=bk41JTJGNCUyQlhzRyUyRnR3dXhiZ1JEdHZNUXo2dE5WTWsxVU10ZWMlMkZrMnZQeExRJTNE
"BINASTYA ANGGARA SEKTI, ST, MM",Sistem Informasi,o9NYgC8AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=dTMyMzJsbzZMc1ZDT05LakduRmM1MWZLbkZSSFZheGdHOGhVVUpneXlyQSUzRA==
"DEWI SETIOWATI, A.Md., S.Pd., M.Tr.Kom.",Teknik Informatika,5VB9LmEAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=ZkZabUVjNHZWbUhIRUJjYlFlaHE3Vk1BeHFmOW1IRDBxd1MxJTJCandkeHJnJTNE
"DIAH ARYANI, ST, M.Kom",Teknik Informatika,-6Lm1NQAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=cDBSYnk4R3M2eFFyaEZGYWJxVG9odDhmJTJGQVlWNmclMkYlMkJLeiUyQmZYaHZxZ21rJTNE
"DIANA NOVITA, ST, MM",Teknik Informatika (PJJ),sitH5FIAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=STVNTiUyRmdZRTlrd0VrOW9qNllTNHJ0aTlYdExBVGxHbURDaGc5a3RxSlhnJTNE
"Dr. BUDI TJAHJONO, S.Kom, M.Kom",Magister Ilmu Komputer,UDCG7e0AAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=Tm1CTDBwUzdxTjRkRlZZc0dRZ2haclpDclpqaGFwbTA2MlJ0cnA4Zm5RayUzRA==
"Dr. GERRY FIRMANSYAH, S.T., M.Kom",Magister Ilmu Komputer,te_vokMAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=cnlJbms3dyUyRkNOa1loWWQ5THEzZllwdHFxb1BYZk1ZRFdOVFpyMjA4bnlNJTNE
"Dr. HANI DEWI ARIESSANTI, S.Kom, M.Kom",Teknik Informatika (PJJ),FPBQwasAAAAJ,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NENzd1lSa3FOZGxlanNsUUx3UHBxQ3J5NkxSJTJGWEx2bWNMTTN5b05JamZjJTNE
"Dr. HASYIM GAUTAMA, ST. M.Sc",Teknik Informatika,NULL,https://simueu.esaunggul.ac.id/ueu/sdm/index.php?page=data_dosen&key=NFBYODIxcVd1cnJDRm4lMkJvJTJCVjk3U2ZpRG1WZVRRNWlPM2VkNWhPanViakUlM0Q=
